[  7.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=true
[  7.901] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  8.000] step moves=0 diag=0 level=false shimmer=true released=0 sec=34 toast=false -> repaint=true
[  8.001] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  8.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=34 toast=false -> repaint=false
[  8.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=true
[  8.906] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  9.001] step moves=0 diag=0 level=false shimmer=true released=0 sec=33 toast=false -> repaint=true
[  9.005] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  9.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.300] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=33 toast=false -> repaint=false
[  9.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=true
[  9.901] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[ 10.001] step moves=0 diag=0 level=false shimmer=true released=0 sec=32 toast=false -> repaint=true
[ 10.002] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[ 10.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.200] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.300] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.400] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.500] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.600] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.700] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.800] step moves=0 diag=0 level=false shimmer=false released=0 sec=32 toast=false -> repaint=false
[ 10.900] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=true
[ 10.900] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[ 11.001] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.300] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.400] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.459] backingPropertiesChanged scale=2.0 screen=BenQ MA270U
[ 11.467] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=BenQ MA270U
[ 11.500] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.600] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.700] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.800] step moves=0 diag=0 level=false shimmer=false released=0 sec=31 toast=false -> repaint=false
[ 11.900] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=true
[ 11.905] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=BenQ MA270U
[ 12.000] step moves=0 diag=0 level=false shimmer=true released=0 sec=30 toast=false -> repaint=true
[ 12.005] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=BenQ MA270U
[ 12.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.200] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.300] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.400] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.500] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.600] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.700] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.800] step moves=0 diag=0 level=false shimmer=false released=0 sec=30 toast=false -> repaint=false
[ 12.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=true
[ 12.902] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=BenQ MA270U
[ 13.000] step moves=0 diag=0 level=false shimmer=true released=0 sec=29 toast=false -> repaint=true
[ 13.001] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=BenQ MA270U
[ 13.101] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
[ 13.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
[ 13.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
[ 13.400] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
[ 13.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
[ 13.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=29 toast=false -> repaint=false
